team,id,status,name,doneAt,desciption,token,amount,username,payment_status,tx_hash,datetime
Twitter T.E.A.M.,97bd5e35-f200-462c-b10d-6d02503d2196,DONE,July Week 2,2022-07-18T19:35:56.457Z,"Twitter content planning organization, tracking and posting. (From July 11 to July 17)",WXDAI,123.5,acidlazzer,PROCESSING,0xa85934717d0c4459ab2636951bb2f67b9522af6c71d0f318212077c40bbfde1a,processing
Twitter T.E.A.M.,0c2fcae9-cc5a-4313-9517-0264ff5ec8fc,DONE,July Week 2,2022-07-18T19:35:59.659Z,"Twitter content planning organization, tracking and posting. (From July 11 to July 17)

\
* Includes drafting tweets in collaboration with the Comms Team
* Managing and keeping track of the Airtable Content Calendar

\
",WXDAI,47.5,EFRA,PROCESSING,0xa85934717d0c4459ab2636951bb2f67b9522af6c71d0f318212077c40bbfde1a,processing
Twitter T.E.A.M.,e4193e96-4182-4c47-ae01-3b0da8cee52c,DONE,July Week 1,2022-07-18T19:35:50.814Z,"Twitter content planning organization, tracking and posting. (From July 4 to July 10)

\
* Includes drafting tweets in collaboration with the Comms Team
* Managing and keeping track of the Airtable Content Calendar

\
",WXDAI,47.5,EFRA,PROCESSING,0xa85934717d0c4459ab2636951bb2f67b9522af6c71d0f318212077c40bbfde1a,processing
Twitter T.E.A.M.,9688570a-f408-49bd-9a69-a1a57f3eb6c8,DONE,July Week 1,2022-07-18T19:35:42.177Z,"Twitter content planning organization, tracking and posting. (From July 4 to July 10)",WXDAI,152.0,acidlazzer,PROCESSING,0xa85934717d0c4459ab2636951bb2f67b9522af6c71d0f318212077c40bbfde1a,processing
Twitter T.E.A.M.,0dba9415-3ee5-40ad-aa3c-701b4e667876,DONE,June Week 4,2022-07-04T16:07:05.382Z,"Twitter content planning organization, tracking and posting. (From June 27  to July 3)",WXDAI,114.0,acidlazzer,PROCESSING,0xa85934717d0c4459ab2636951bb2f67b9522af6c71d0f318212077c40bbfde1a,processing
Twitter T.E.A.M.,f0880636-0141-4328-bc97-0ab90f887b51,DONE,June Week 4,2022-07-04T16:06:53.114Z,"Twitter content planning organization, tracking and posting. (From June 20 to June 26)

\
* Includes drafting tweets in collaboration with the Comms Team
* Managing and keeping track of the Airtable Content Calendar

\
",WXDAI,47.5,EFRA,PROCESSING,0xa85934717d0c4459ab2636951bb2f67b9522af6c71d0f318212077c40bbfde1a,processing
Twitter T.E.A.M.,83a10765-6cb6-4f0e-8e1e-d331c993c907,DONE,June Week 4,2022-07-04T16:06:52.000Z,"Twitter content planning organization, tracking and posting. (From June 20 to June 26)",WXDAI,114.0,acidlazzer,PROCESSING,0xa85934717d0c4459ab2636951bb2f67b9522af6c71d0f318212077c40bbfde1a,processing
Twitter T.E.A.M.,edca081e-d15f-4c1f-a764-348c71ddd68b,DONE,June Week 3,2022-07-04T16:06:42.635Z,"Twitter content planning organization, tracking and posting. (From June 13 to June 19)",WXDAI,123.5,acidlazzer,PROCESSING,0xa85934717d0c4459ab2636951bb2f67b9522af6c71d0f318212077c40bbfde1a,processing
Twitter T.E.A.M.,4ba077e8-86f0-4005-bc62-5d675d554686,DONE,June Week 3,2022-07-04T16:06:41.161Z,"Twitter content planning organization and tracking. (From June 13 to June 20)

\
* Includes drafting tweets in collaboration with the Comms Team
* Managing and keeping track of the Airtable Content Calendar

\
",WXDAI,38.0,EFRA,PROCESSING,0xa85934717d0c4459ab2636951bb2f67b9522af6c71d0f318212077c40bbfde1a,processing
Twitter T.E.A.M.,eef54642-8fb6-427f-bd0b-cdfd839558de,DONE,June Week 2,2022-06-13T16:54:00.331Z,"Twitter content planning organization, tracking and posting. (From June 6 to June 12)",WXDAI,123.5,acidlazzer,CONFIRMED,0x14131bd4059e34aa26c0d2730f1d9b6cab4b82dcb488a2a7fd5aa0de3862727e,2022-06-13
Twitter T.E.A.M.,a3c8e158-69c3-499d-a01b-9ea1a757fb5c,DONE,June Week 2,2022-06-13T16:53:59.621Z,"Twitter content planning organization and tracking. (From June 6 to June 13)

\
* Includes drafting tweets in collaboration with the Comms Team
* Managing and keeping track of the Airtable Content Calendar

\
",WXDAI,38.0,EFRA,CONFIRMED,0x14131bd4059e34aa26c0d2730f1d9b6cab4b82dcb488a2a7fd5aa0de3862727e,2022-06-13
Twitter T.E.A.M.,9b2d89b0-4961-4609-88c7-665ffc74968c,DONE,June Week 1,2022-06-06T16:18:49.150Z,"Twitter content planning organization and tracking. (From May 30 to June 5)

\
* Includes drafting tweets in collaboration with the Comms Team
* Managing and keeping track of the Airtable Content Calendar
* Keep updating the design for TEC Stars

\
",WXDAI,28.5,EFRA,CONFIRMED,0x8f79caacb2e69d9aebe0e2e291d02ad8f8ea0faa938321761caf7f23488c90b5,2022-06-13
Twitter T.E.A.M.,05519c2b-4693-4cd6-8931-2f484980f91c,DONE,June Week 1,2022-06-06T16:18:48.169Z,"Twitter content planning organization, tracking and posting. (From March 30 to June 5)",WXDAI,114.0,acidlazzer,CONFIRMED,0x8f79caacb2e69d9aebe0e2e291d02ad8f8ea0faa938321761caf7f23488c90b5,2022-06-13
Twitter T.E.A.M.,feb849ab-d8c0-4d85-8cf4-01c23c93c50e,DONE,May Week 5,2022-05-30T16:38:02.636Z,"Twitter content planning organization and tracking. (From May 23 to May 29)

* Includes drafting tweets in collaboration with the Comms Team
* Managing and keeping track of the Airtable Content Calendar
* Keep updating the design for TEC Stars

\
",WXDAI,28.5,EFRA,CONFIRMED,0xfc29d6861db3c81dac6bf77d0a689482a05fc853c4d012fafeab0b88be91099d,2022-05-30
Twitter T.E.A.M.,53a3eb3c-a572-4362-964d-e4c3c022db4f,DONE,May Week 4,2022-05-30T16:38:01.666Z,"Twitter content planning organization and tracking. (From May 16 to May 22)

* Includes drafting tweets in collaboration with the Comms Team
* Managing and keeping track of the Airtable Content Calendar
* Designing a Template for TEC Stars

\
",WXDAI,47.5,EFRA,CONFIRMED,0xfc29d6861db3c81dac6bf77d0a689482a05fc853c4d012fafeab0b88be91099d,2022-05-30
Twitter T.E.A.M.,f53d0638-497f-41f0-9db1-c82d37fbf7e1,DONE,May Week 5,2022-05-30T16:38:00.761Z,"Twitter content planning organization, tracking and posting. (From May 23 to May 29)",WXDAI,95.0,acidlazzer,CONFIRMED,0xfc29d6861db3c81dac6bf77d0a689482a05fc853c4d012fafeab0b88be91099d,2022-05-30
Twitter T.E.A.M.,d22865b4-8ffc-4fba-8191-86d3e36dcb9f,DONE,May Week 4,2022-05-30T16:37:59.992Z,"Twitter content planning organization, tracking and posting. (From May 16 to May 22)",WXDAI,142.5,acidlazzer,CONFIRMED,0xfc29d6861db3c81dac6bf77d0a689482a05fc853c4d012fafeab0b88be91099d,2022-05-30
Twitter T.E.A.M.,79d668a2-2f4c-4196-9aff-5f00314714f7,DONE,Tweet drafting - Chuy,2022-05-30T16:37:55.661Z,"I supported twitter drafting in the first weeks of May covering the following topics:

\
* TEC Stars
* #TETuesdays: Arbitrage
* PrimeDAO tooling and articles
* #TETuesdays: Dune Analytics
* Newsletter signups

\
",WXDAI,28.5,chuygarcia,CONFIRMED,0xfc29d6861db3c81dac6bf77d0a689482a05fc853c4d012fafeab0b88be91099d,2022-05-30
Twitter T.E.A.M.,f79f123b-75e3-4037-8971-492e3248b645,DONE,May Week 3,2022-05-16T16:13:26.335Z,"Twitter content planning organization, tracking and posting. (From May 9 to May 15)",WXDAI,133.0,acidlazzer,CONFIRMED,0xaed6a4f84b8bd690d243ddf4ad472e9b857fbdaeff078705c40845b0be36ee73,2022-05-16
Twitter T.E.A.M.,b0b3b00d-4ab2-4ed3-89fa-238fa2a6fc48,DONE,May Week 2,2022-05-16T16:13:25.411Z,"Twitter content planning organization, tracking and posting. (From May 2 to May 8)",WXDAI,114.0,acidlazzer,CONFIRMED,0xaed6a4f84b8bd690d243ddf4ad472e9b857fbdaeff078705c40845b0be36ee73,2022-05-16
Twitter T.E.A.M.,d11c5c5d-e311-44aa-adcc-16168de9a77d,DONE,May Week 1,2022-05-16T16:13:33.121Z,"Twitter content planning organization, tracking and posting. (From April 25 to May 1)",WXDAI,104.5,acidlazzer,CONFIRMED,0xaed6a4f84b8bd690d243ddf4ad472e9b857fbdaeff078705c40845b0be36ee73,2022-05-16
