team,id,status,name,doneAt,desciption,token,amount,username,payment_status,tx_hash,datetime
TE Academy T.E.A.M.,b41b117f-ea66-4217-b80f-0de80c0b5f0d,DONE,Refund 200 TEC/TEA buttons,2022-05-13T17:25:17.884Z,"Each button cost $4.5 MXN, total $900 MXN

\
\
46 USD 

\
\
 ![](https://storage.googleapis.com/assets.dework.xyz/uploads/1b6d013f-0956-4b22-9d79-56956cc9ea75/image.png)",WXDAI,23.0,AnaTech,CONFIRMED,0xb7f1be393291caefa304a4bf5392cd2628bd755fc22b7a57880973fafe5d5d5b,2022-05-13
TE Academy T.E.A.M.,c679fad6-8336-489d-820f-c18bcac81046,DONE,May Week 1,2022-05-16T15:22:11.371Z,"Twitter/Discord content, planning and posting. (from May 2 to 8)

* Create promotional tweets for this week's events (TE360 Around the Globe, Interaction with followers, TE Fundamentals Partners, Memes)
* Share announcements on Discord channels (TEA and TEC Announcement Channels)
* Work with EFRA on creating visual for “How to join TE Fundamentals”
* Weekly meeting with Pati, Ana and Angela to discuss marketing plans, elaborate ideas, and create drafts of future events.
* Meeting with Gravity Team to work on Mental Health event for TEC.
* Research on Mental Health in the workspace.

\
",WXDAI,171.0,angieberryberry,FAILED,0xa85934717d0c4459ab2636951bb2f67b9522af6c71d0f318212077c40bbfde1a,processing
TE Academy T.E.A.M.,fe846c67-9bbd-48a4-94da-4cd627f978ef,DONE,April - Design Work,2022-05-16T15:22:08.809Z,"Design work done for TE Academy: \n 

Including infographics and Social Media banners for events.",WXDAI,71.25,EFRA,FAILED,0xa85934717d0c4459ab2636951bb2f67b9522af6c71d0f318212077c40bbfde1a,processing
TE Academy T.E.A.M.,a54821db-685a-4f7e-ba1e-ef9603997cda,DONE,1st May week || AnaTech,2022-05-16T15:22:09.440Z,"* Weekly TEAM Meeting
* Meeting with Angela
* Results preparation  april
* Adjusting last details on the Twitter Campaign

\*Collect information about the courses to be able to share them
TE Fundamentals (I already have it, it's just to summarize it and put the important links)
TECLabs (discord bots) Find YGG and YVI to ask them for details
\*\*Gravity (with juanka, ask her for information about the courses and details)

Get spotlight to offer the above 3 courses:
\*Shapeshift /Giveth : find willyfox
\*Opolis Search for 0xJoshua (part of gitcoin tmbn)
\*Lauren Giveth: to ask her to be in a community call to share about the academy opportunities \n  \n Preparing the presentation for the community calls

\
",WXDAI,171.0,AnaTech,FAILED,0xa85934717d0c4459ab2636951bb2f67b9522af6c71d0f318212077c40bbfde1a,processing
TE Academy T.E.A.M.,96d78d71-b58a-4541-95fc-898e342364d9,DONE,April 4rd week || AnaTech,2022-05-16T15:22:12.118Z,"\*Sharing content ideas for twitter and posts, (april 25-may1)

\*weekly meeting 

\*Preparation of the presentation of local hubs

\*Preparation for the marketing campaign “MeetTE”(name to be defined)

 \n ",WXDAI,142.5,AnaTech,FAILED,0xa85934717d0c4459ab2636951bb2f67b9522af6c71d0f318212077c40bbfde1a,processing
TE Academy T.E.A.M.,e699840b-ad2a-4f35-aea8-fb4571fe0485,DONE,April 3rd week || AnaTech,2022-05-03T10:15:19.727Z,"* Weekly Sync with TEA TEAM 
* Weekly sync with Angela
* Development of the TEA Local Hubs Presentation
* Planning and posting content for TE Twitter
* Looking for a supplier to send swag to EthAmsterdam and then looking for more because the first supplier didnt made them :((((((( :( :( :( :(

\
",WXDAI,171.0,AnaTech,CONFIRMED,0x820147891c0ab91e42a6c9db6dce66bef305b944f1aa71ec1b718c1d2e77d204,2022-05-03
TE Academy T.E.A.M.,90f6e8c6-c094-40ea-b9e7-bd144cc69da3,DONE,April Week 4,2022-05-03T10:15:19.105Z,"Twitter/Discord content, planning and posting. (from April 25 to May 1)

* Create promotional tweets for this week's events (TE360 APAC, Introduction to TE, How to join TE Fundamentals, Angela’s talk, Interaction with followers, TE Hardskills, Memes)
* Share announcements on Discord channels (TEA/TEC Announcements)
* Work with Efra to create visuals for TE Academy. 
* Meeting with Angela and Pati to talk about future content and share information about future events).
* Do research to create a Mental Health event for the community.
* Plan a Mental Health event with Juanka and Bianca. 

\
",WXDAI,171.0,angieberryberry,CONFIRMED,0x820147891c0ab91e42a6c9db6dce66bef305b944f1aa71ec1b718c1d2e77d204,2022-05-03
TE Academy T.E.A.M.,8cf2df29-41e5-4e3b-a776-57f686c17f5d,DONE,April Week 3,2022-05-03T10:15:18.402Z,"Twitter/Discord content, planning and posting. (from April 17 to 24)

* Create promotional tweets for this week's events (TE360 Local Hubs, DevConnect Amsterdam, The DAOist GGG in Amsterdam, Interaction with followers, TE Fundamentals APAC, TE Hardskills, Memes)
* Share announcements on Discord channels (TEA/TEC Announcements)
* Work with Efra to create visuals for The Daoist GGG talks.
* Weekly meeting with Pati and Ana to discuss marketing plans, elaborate ideas, and create drafts of future events.
* Do research to create a Mental Health event for the community. 

\
",WXDAI,171.0,angieberryberry,CONFIRMED,0x820147891c0ab91e42a6c9db6dce66bef305b944f1aa71ec1b718c1d2e77d204,2022-05-03
TE Academy T.E.A.M.,083fba9b-24de-4764-9dde-61834d7d0429,DONE,April Week 2,2022-05-03T10:15:17.571Z,"Twitter/Discord content, planning and posting. (from April 11 to 17)

* Create promotional tweets for this week's events (TE360 Local Hubs, DevConnect Amsterdam, Interaction with followers, TE Fundamentals Partners, Memes)
* Share announcements on Discord channels (Amplify and Announcements)
* Revised Token Engineering’s newsletter.
* Presentation of Twitter Monthly Report to the Marketing Team.
* Weekly meeting with Pati and Ana to discuss marketing plans, elaborate ideas, and create drafts of future events.

\
",WXDAI,171.0,angieberryberry,CONFIRMED,0x820147891c0ab91e42a6c9db6dce66bef305b944f1aa71ec1b718c1d2e77d204,2022-05-03
TE Academy T.E.A.M.,bd05d3a1-1af8-43fb-92fe-9a75dde7b287,DONE,April Week 1 ,2022-04-11T15:24:37.902Z,"Twitter/Discord content, planning and posting. (from April 4 to 10 )

* Create promotional tweets for this week's events (TE 360 Session 5, TE 360 Local Hubs, DevConnect, TE Hard Skills, Interaction with our followers, FunDay Meme, Consensys)
* Share announcements on Discord channels (Amplify and Announcements)
* Meeting with Angela, Pati, Patricia and Ana to share March’s Monthly Twitter Review and discuss how we can improve the twitter account. 
* Weekly meeting with Pati and Ana to discuss marketing plans, elaborate ideas, and create drafts of future events.

\
",WXDAI,171.0,angieberryberry,CONFIRMED,0x4216d3fb74cc4a92ee71258d0737e3786f0561ec44ea7cd099740addded9c65c,2022-04-11
